Узел: Constant           | Адрес: tests/main_test.py Rhine@9:17#FunctionDef(main).body[0].value(Constant)
Узел: Name               | Адрес: tests/main_test.py Rhine@9:4#FunctionDef(main).body[0].targets[0](Name)
Узел: Store              | Адрес: tests/main_test.py Rhine@0:0#FunctionDef(main).body[0].targets[0].ctx(Store)
Узел: Assign             | Адрес: tests/main_test.py Rhine@9:4#FunctionDef(main).body[0](Assign)
Узел: Constant           | Адрес: tests/main_test.py Rhine@10:16#FunctionDef(main).body[1].value(Constant)
Узел: Name               | Адрес: tests/main_test.py Rhine@10:4#FunctionDef(main).body[1].targets[0](Name)
Узел: Store              | Адрес: tests/main_test.py Rhine@0:0#FunctionDef(main).body[1].targets[0].ctx(Store)
Узел: Assign             | Адрес: tests/main_test.py Rhine@10:4#FunctionDef(main).body[1](Assign)
Узел: Expr               | Адрес: tests/main_test.py Rhine@12:4#FunctionDef(main).body[2](Expr)
Узел: Name               | Адрес: tests/main_test.py Rhine@12:4#FunctionDef(main).body[2].value.func_name(Name)
Узел: Load               | Адрес: tests/main_test.py Rhine@0:0#FunctionDef(main).body[2].value.func_name.ctx(Load)
Узел: JoinedStr          | Адрес: tests/main_test.py Rhine@12:10#FunctionDef(main).body[2].value.arguments[0](JoinedStr)
Узел: Constant           | Адрес: tests/main_test.py Rhine@12:12#FunctionDef(main).body[2].value.arguments[0].values[0](Constant)
Узел: FormattedValue     | Адрес: tests/main_test.py Rhine@12:54#FunctionDef(main).body[2].value.arguments[0].values[1](FormattedValue)
Узел: Name               | Адрес: tests/main_test.py Rhine@12:55#FunctionDef(main).body[2].value.arguments[0].values[1].value(Name)
Узел: Load               | Адрес: tests/main_test.py Rhine@0:0#FunctionDef(main).body[2].value.arguments[0].values[1].value.ctx(Load)
Узел: Constant           | Адрес: tests/main_test.py Rhine@12:66#FunctionDef(main).body[2].value.arguments[0].values[2](Constant)
Узел: Call               | Адрес: tests/main_test.py Rhine@12:4#FunctionDef(main).body[2].value(Call)
Узел: Call               | Адрес: tests/main_test.py Rhine@13:26#FunctionDef(main).body[3].value.await_value(Call)
Узел: Compare            | Адрес: tests/data_processor.py Rhine@6:7#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[0].test(Compare)
Узел: Name               | Адрес: tests/data_processor.py Rhine@6:7#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[0].test.left(Name)
Узел: Load               | Адрес: tests/data_processor.py Rhine@0:0#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[0].test.left.ctx(Load)
Узел: Lt                 | Адрес: tests/data_processor.py Rhine@0:0#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[0].test.ops[0](Lt)
Узел: Constant           | Адрес: tests/data_processor.py Rhine@6:13#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[0].test.comparators[0](Constant)
Узел: Constant           | Адрес: tests/data_processor.py Rhine@7:17#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[0].if_body[0].value(Constant)
Узел: Name               | Адрес: tests/data_processor.py Rhine@7:8#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[0].if_body[0].targets[0](Name)
Узел: Store              | Адрес: tests/data_processor.py Rhine@0:0#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[0].if_body[0].targets[0].ctx(Store)
Узел: Assign             | Адрес: tests/data_processor.py Rhine@7:8#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[0].if_body[0](Assign)
Узел: Constant           | Адрес: tests/data_processor.py Rhine@9:17#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[0].else_body[0].value(Constant)
Узел: Name               | Адрес: tests/data_processor.py Rhine@9:8#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[0].else_body[0].targets[0](Name)
Узел: Store              | Адрес: tests/data_processor.py Rhine@0:0#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[0].else_body[0].targets[0].ctx(Store)
Узел: Assign             | Адрес: tests/data_processor.py Rhine@9:8#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[0].else_body[0](Assign)
Узел: If                 | Адрес: tests/data_processor.py Rhine@6:4#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[0](If)
Узел: Expr               | Адрес: tests/data_processor.py Rhine@12:4#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[1](Expr)
Узел: Attribute          | Адрес: tests/data_processor.py Rhine@12:10#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[1].value.await_value.func_name(Attribute)
Узел: Name               | Адрес: tests/data_processor.py Rhine@12:10#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[1].value.await_value.func_name.value(Name)
Узел: Load               | Адрес: tests/data_processor.py Rhine@0:0#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[1].value.await_value.func_name.value.ctx(Load)
Узел: Load               | Адрес: tests/data_processor.py Rhine@0:0#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[1].value.await_value.func_name.ctx(Load)
Узел: Constant           | Адрес: tests/data_processor.py Rhine@12:24#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[1].value.await_value.arguments[0](Constant)
Узел: Call               | Адрес: tests/data_processor.py Rhine@12:10#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[1].value.await_value(Call)
Узел: Await              | Адрес: tests/data_processor.py Rhine@12:4#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[1].value(Await)
Узел: List               | Адрес: tests/data_processor.py Rhine@15:18#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[2].value(List)
Узел: Load               | Адрес: tests/data_processor.py Rhine@0:0#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[2].value.ctx(Load)
Узел: Name               | Адрес: tests/data_processor.py Rhine@15:4#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[2].targets[0](Name)
Узел: Store              | Адрес: tests/data_processor.py Rhine@0:0#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[2].targets[0].ctx(Store)
Узел: Assign             | Адрес: tests/data_processor.py Rhine@15:4#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[2](Assign)
Узел: Expr               | Адрес: tests/data_processor.py Rhine@16:4#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[3](Expr)
Узел: Attribute          | Адрес: tests/data_processor.py Rhine@16:4#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[3].value.func_name(Attribute)
Узел: Name               | Адрес: tests/data_processor.py Rhine@16:4#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[3].value.func_name.value(Name)
Узел: Load               | Адрес: tests/data_processor.py Rhine@0:0#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[3].value.func_name.value.ctx(Load)
Узел: Load               | Адрес: tests/data_processor.py Rhine@0:0#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[3].value.func_name.ctx(Load)
Узел: Attribute          | Адрес: tests/data_processor.py Rhine@16:23#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[3].value.arguments[0].func_name(Attribute)
Узел: Attribute          | Адрес: tests/data_processor.py Rhine@16:23#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[3].value.arguments[0].func_name.value.func_name(Attribute)
Узел: Name               | Адрес: tests/data_processor.py Rhine@16:23#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[3].value.arguments[0].func_name.value.func_name.value(Name)
Узел: Load               | Адрес: tests/data_processor.py Rhine@0:0#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[3].value.arguments[0].func_name.value.func_name.value.ctx(Load)
Узел: Load               | Адрес: tests/data_processor.py Rhine@0:0#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[3].value.arguments[0].func_name.value.func_name.ctx(Load)
Узел: Call               | Адрес: tests/data_processor.py Rhine@16:23#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[3].value.arguments[0].func_name.value(Call)
Узел: Load               | Адрес: tests/data_processor.py Rhine@0:0#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[3].value.arguments[0].func_name.ctx(Load)
Узел: Call               | Адрес: tests/data_processor.py Rhine@16:23#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[3].value.arguments[0](Call)
Узел: Call               | Адрес: tests/data_processor.py Rhine@16:4#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[3].value(Call)
Узел: Expr               | Адрес: tests/data_processor.py Rhine@17:4#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[4](Expr)
Узел: Attribute          | Адрес: tests/data_processor.py Rhine@17:4#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[4].value.func_name(Attribute)
Узел: Name               | Адрес: tests/data_processor.py Rhine@17:4#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[4].value.func_name.value(Name)
Узел: Load               | Адрес: tests/data_processor.py Rhine@0:0#FunctionDef(main).body[3].value.await_value.Jump(process_user_data).body[4].value.func_name.value.ctx(Load)
